Algorithm,Framework,"Signal Type Combination","Training Time in seconds"
KNN,WEKA,"WIFI,BLUETOOTH,GSM",0.104
KNN,WEKA,"WIFI,BLUETOOTH",0.068
KNN,WEKA,"WIFI,GSM",0.031
KNN,WEKA,"BLUETOOTH,GSM",0.05
KNN,WEKA,WIFI,0.025
KNN,WEKA,BLUETOOTH,0.039
KNN,WEKA,GSM,0.016
NB,WEKA,"WIFI,BLUETOOTH,GSM",0.172
NB,WEKA,"WIFI,BLUETOOTH",0.158
NB,WEKA,"WIFI,GSM",0.065
NB,WEKA,"BLUETOOTH,GSM",0.127
NB,WEKA,WIFI,0.041
NB,WEKA,BLUETOOTH,0.095
NB,WEKA,GSM,0.015
RF,WEKA,"WIFI,BLUETOOTH,GSM",3.112
RF,WEKA,"WIFI,BLUETOOTH",3.303
RF,WEKA,"WIFI,GSM",2.354
RF,WEKA,"BLUETOOTH,GSM",3.604
RF,WEKA,WIFI,2.247
RF,WEKA,BLUETOOTH,4.553
RF,WEKA,GSM,2.384
KNN,JAVAML,"WIFI,BLUETOOTH,GSM",0.083
KNN,JAVAML,"WIFI,BLUETOOTH",0.063
KNN,JAVAML,"WIFI,GSM",0.03
KNN,JAVAML,"BLUETOOTH,GSM",0.05
KNN,JAVAML,WIFI,0.029
KNN,JAVAML,BLUETOOTH,0.039
KNN,JAVAML,GSM,0.015
NB,JAVAML,"WIFI,BLUETOOTH,GSM",0.277
NB,JAVAML,"WIFI,BLUETOOTH",0.184
NB,JAVAML,"WIFI,GSM",0.076
NB,JAVAML,"BLUETOOTH,GSM",0.129
NB,JAVAML,WIFI,0.067
NB,JAVAML,BLUETOOTH,0.102
NB,JAVAML,GSM,0.018
RF,JAVAML,"WIFI,BLUETOOTH,GSM",3.333
RF,JAVAML,"WIFI,BLUETOOTH",4.139
RF,JAVAML,"WIFI,GSM",2.15
RF,JAVAML,"BLUETOOTH,GSM",4.284
RF,JAVAML,WIFI,2.048
RF,JAVAML,BLUETOOTH,4.808
RF,JAVAML,GSM,1.968
KNN,JSAT,"WIFI,BLUETOOTH,GSM",0.109
KNN,JSAT,"WIFI,BLUETOOTH",0.08
KNN,JSAT,"WIFI,GSM",0.04
KNN,JSAT,"BLUETOOTH,GSM",0.063
KNN,JSAT,WIFI,0.033
KNN,JSAT,BLUETOOTH,0.053
KNN,JSAT,GSM,0.022
NB,JSAT,"WIFI,BLUETOOTH,GSM",0.203
NB,JSAT,"WIFI,BLUETOOTH",0.158
NB,JSAT,"WIFI,GSM",0.064
NB,JSAT,"BLUETOOTH,GSM",0.114
NB,JSAT,WIFI,0.052
NB,JSAT,BLUETOOTH,0.1
NB,JSAT,GSM,0.019
RF,JSAT,"WIFI,BLUETOOTH,GSM",2.078
RF,JSAT,"WIFI,BLUETOOTH",1.805
RF,JSAT,"WIFI,GSM",2.014
RF,JSAT,"BLUETOOTH,GSM",1.113
RF,JSAT,WIFI,1.946
RF,JSAT,BLUETOOTH,0.864
RF,JSAT,GSM,0.556
